bctcb2020,cenblock20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
10010011011,360610010011011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011012,360610010011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011013,360610010011013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011014,360610010011014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011015,360610010011015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010021000,360610010021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0
10010021001,360610010021001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0
10010022000,360610010022000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0
10010022001,360610010022001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0
10010023000,360610010023000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010023001,360610010023001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010023002,360610010023002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010023003,360610010023003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010024000,360610010024000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
10010025000,360610010025000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,0
10012001000,360610012001000,0,0,0,0,14,0,0,0,0,0,0,0,-16,144,0,301,0,0,0,0,1
10012001001,360610012001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
