NTA2020,ntaname20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
BK1704,East Flatbush-Remsen Village,6,9,8,3,1,1,-1,0,1,2,1,6,10,12,1,15430,15,17,54,15,22
BK1771,Holy Cross Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
BK1801,Flatlands,-1,28,17,11,-1,-2,-1,1,5,6,12,-1,1,5,11,23740,17,7,98,9,52
BK1802,Marine Park-Mill Basin-Bergen Beach,-1,5,-5,2,-1,-1,-1,-1,-3,6,13,-1,25,0,0,17623,10,2,18,20,81
BK1803,Canarsie,5,21,35,53,5,36,7,29,9,28,6,4,4,-2,8,31020,287,9,47,24,76
BK1891,Marine Park-Plumb Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BK1892,McGuire Fields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
BK1893,Canarsie Park & Pier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
BK5591,Prospect Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
BK5691,Barren Island-Floyd Bennett Field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
