ProjectID,BuildingID,ReportingConstructionType,Borough,Block,Lot,BIN,HouseNumber,StreetName,CountedRentalUnits,CountedHomeownershipUnits,AllCountedUnits,TotalBuildingUnits,BaseSquareFootage,Stories,BBL,Community Board,Council District,Census Tract,NTA,Latitude,Longitude,Postcode
58658,19358,Preservation,,1638,48,1052187,162,EAST 111 STREET,7,0,7,7,0,3,1016380048,11,8,172,MN33,40.795209,-73.943435,10029
58658,19615,Preservation,,1621,65,1051658,12,EAST 116 STREET,10,0,10,10,0,5,1016210065,11,9,184,MN34,40.800422,-73.945908,10029
58659,58983,Preservation,,2401,7,2001707,712,COURTLANDT AVENUE,5,0,5,5,1250,3,2024010007,1,17,67,BX34,40.820505,-73.917769,10451
58659,63861,Preservation,,2398,40,2001669,367,EAST 151 STREET,8,0,8,8,1625,4,2023980040,1,17,67,BX34,40.817841,-73.918343,10455
58659,63863,Preservation,,2398,30,2001667,389,EAST 151 STREET,33,0,33,33,6600,6,2023980030,1,17,67,BX34,40.817667,-73.917682,10455
58659,63867,Preservation,,2374,60,2001353,415,EAST 151 STREET,10,0,10,10,2250,5,2023740060,1,17,67,BX34,40.817436,-73.916804,10455
58659,63868,Preservation,,2374,59,2001352,417,EAST 151 STREET,11,0,11,11,2250,5,2023740059,1,17,67,BX34,40.817433,-73.916782,10455
58659,63895,Preservation,,2374,38,2001348,408,EAST 152 STREET,20,0,20,20,4775,5,2023740038,1,17,67,BX34,40.818133,-73.916453,10455
58659,95597,Preservation,,2401,23,2001720,689,MELROSE AVENUE,25,0,25,25,4500,6,2024010023,1,17,67,BX34,40.819697,-73.916133,10455
58661,221786,Preservation,,1177,29,3029553,804,CLASSON AVENUE,14,0,14,14,0,5,3011770029,8,35,215,BK64,40.672869,-73.960814,11238
58666,968251,New Construction,,3566,6,3000000,278,GRAFTON STREET,126,0,126,126,0,8,3035660006,16,41,894,BK81,40.661524,-73.917424,11212
58671,976883,New Construction,,1723,2,3000000,179,THROOP AVENUE,89,0,89,89,7974,6,3017230002,3,36,28501,BK78,40.698451,-73.943986,11206
58733,968123,New Construction,,2370,7501,2001273,3365,3 AVENUE,30,0,30,30,6822,6,2023700033,3,16,185,BX35,40.826619,-73.907694,10456
58780,990171,New Construction,,4142,7501,,110,DINSMORE PLACE,275,0,275,275,24520,14,,5,37,1178,BK83,40.681427,-73.875399,11208
58790,396881,Preservation,,3307,4,3346536,297,WILSON AVENUE,95,0,95,95,10375,8,3033070004,4,37,433,BK77,40.697004,-73.919201,11237
58792,199381,Preservation,,7447,28,3320931,2520,BATCHELDER STREET,0,135,135,135,18883,8,3074470028,15,48,596,BK17,40.591371,-73.937271,11235
58792,807660,Preservation,,7447,28,3320930,2965,AVENUE Z,0,135,135,135,18883,8,3074470028,15,48,596,BK17,40.589736,-73.938323,11235
58792,807686,Preservation,,7447,28,3320928,2540,BATCHELDER STREET,0,135,135,135,18883,8,3074470028,15,48,596,BK17,40.591069,-73.937213,11235
58792,807687,Preservation,,7447,28,3320929,2560,BATCHELDER STREET,0,135,135,135,18883,8,3074470028,15,48,596,BK17,40.590765,-73.93716,11235
58793,974501,New Construction,,1814,17,3000000,500,GATES AVENUE,68,0,68,68,8088,5,3018140017,3,36,265,BK75,40.686746,-73.945939,11216
58823,381604,Preservation,,1810,9,3050979,303,TOMPKINS AVENUE,6,0,6,6,1875,4,3018100009,3,36,265,BK75,40.68761,-73.944752,11216
58829,64797,Preservation,,2622,5,2004395,576,EAST 165 STREET,68,0,68,68,75190,6,2026220005,3,16,185,BX35,40.825695,-73.906615,10456
58855,326587,Preservation,,1178,61,3029606,541,LINCOLN PLACE,20,0,20,20,5414,4,3011780061,8,35,217,BK61,40.671696,-73.958385,11238
58855,326588,Preservation,,1178,59,3029605,547,LINCOLN PLACE,17,0,17,17,6114,4,3011780059,8,35,217,BK61,40.671674,-73.958269,11238
58855,326592,Preservation,,1178,57,3029604,553,LINCOLN PLACE,17,0,17,17,6114,4,3011780057,8,35,217,BK61,40.671649,-73.958158,11238
58860,149202,Preservation,,718,30,3010685,354,41 STREET,16,0,16,16,0,4,3007180030,7,38,82,BK32,40.65204,-74.008231,11232
58860,149203,Preservation,,718,32,3010686,358,41 STREET,16,0,16,16,0,4,3007180032,7,38,82,BK32,40.652009,-74.008181,11232
58860,153764,Preservation,,775,63,3012678,555,49 STREET,8,0,8,8,0,4,3007750063,7,38,98,BK34,40.644961,-74.008547,11220
58860,183367,Preservation,,1223,42,3030837,152,ALBANY AVENUE,10,0,10,10,0,4,3012230042,8,36,311,BK61,40.675357,-73.938861,11213
58860,183431,Preservation,,1223,47,3030841,164,ALBANY AVENUE,12,0,12,12,0,4,3012230047,8,36,311,BK61,40.675044,-73.938879,11213
58860,205661,Preservation,,1232,6,3031169,1439,BEDFORD AVENUE,5,0,5,5,0,3,3012320006,8,36,221,BK61,40.673994,-73.953859,11216
58860,205669,Preservation,,1232,1,3031165,723,PARK PLACE,8,0,8,8,0,4,3012320001,8,36,221,BK61,40.673632,-73.953838,11216
58860,205675,Preservation,,1239,14,3031465,1453,BEDFORD AVENUE,3,0,3,3,0,4,3012390014,8,36,219,BK61,40.673437,-73.954058,11216
58860,205677,Preservation,,1239,13,3031464,1455,BEDFORD AVENUE,6,0,6,6,0,4,3012390013,8,36,219,BK61,40.673374,-73.954083,11216
58860,205680,Preservation,,1238,40,3031426,1458,BEDFORD AVENUE,8,0,8,8,0,4,3012380040,8,35,219,BK61,40.673314,-73.954126,11216
58860,208142,Preservation,,1212,63,3030347,1057,BERGEN STREET,12,0,12,12,0,4,3012120063,8,36,315,BK61,40.676175,-73.951269,11216
58860,215386,Preservation,,1387,7,3037201,261,BUFFALO AVENUE,36,0,36,36,0,4,3013870007,8,41,359,BK61,40.669991,-73.925427,11213
58860,287584,Preservation,,1393,58,3037444,1347,EASTERN PARKWAY,11,0,11,11,0,4,3013930058,8,41,359,BK61,40.668426,-73.923706,11233
58860,291510,Preservation,,5042,35,3115515,118,FENIMORE STREET,11,0,11,11,0,4,3050420035,9,40,79601,BK60,40.658186,-73.958469,11225
58860,295903,Preservation,,1149,52,3028306,634,FRANKLIN AVENUE,4,0,4,4,0,3,3011490052,8,35,305,BK61,40.676575,-73.955844,11238
58860,295910,Preservation,,1217,7,3030569,645,FRANKLIN AVENUE,8,0,8,8,0,4,3012170007,8,35,221,BK61,40.676391,-73.955891,11238
58860,295940,Preservation,,1224,2,3030858,683,FRANKLIN AVENUE,3,0,3,3,0,3,3012240002,8,35,221,BK61,40.675274,-73.956292,11238
58860,296012,Preservation,,1178,51,3029601,782,FRANKLIN AVENUE,7,0,7,7,0,4,3011780051,8,35,217,BK61,40.671825,-73.957563,11238
58860,307569,Preservation,,2114,1,3059262,67,HANSON PLACE,100,0,100,100,0,15,3021140001,2,35,35,BK68,40.685452,-73.974897,11217
58860,307575,Preservation,,2114,33,3059283,75,HANSON PLACE,8,0,8,8,0,3,3021140033,2,35,35,BK68,40.685482,-73.974627,11217
58860,308351,Preservation,,1768,78,3322099,145,HART STREET,2,0,2,2,0,2,3017680078,3,36,261,BK75,40.693586,-73.94523,11206
58860,308360,Preservation,,1768,73,3049199,155,HART STREET,3,0,3,3,0,2,3017680073,3,36,261,BK75,40.693618,-73.944956,11206
58860,320854,Preservation,,1222,41,3030775,122,KINGSTON AVENUE,6,0,6,6,0,3,3012220041,8,36,313,BK61,40.675457,-73.941637,11213
58860,326267,Preservation,,1389,20,3037291,1234,LINCOLN PLACE,16,0,16,16,0,4,3013890020,8,35,353,BK61,40.669978,-73.935538,11213
58860,341053,Preservation,,1757,18,3048703,974,MYRTLE AVENUE,3,0,3,3,0,3,3017570018,3,36,283,BK35,40.696137,-73.942542,11206
58860,351984,Preservation,,1163,54,3029013,637,PARK PLACE,6,0,6,6,0,3,3011630054,8,35,305,BK61,40.674223,-73.956909,11238
58860,352156,Preservation,,1235,50,3031299,985,PARK PLACE,25,0,25,25,0,6,3012350050,8,36,341,BK61,40.673164,-73.94528,11213
58860,352618,Preservation,,1618,8,3043934,19,PATCHEN AVENUE,7,0,7,7,0,4,3016180008,3,41,387,BK35,40.69172,-73.927808,11221
58860,352634,Preservation,,1612,49,3043658,22A,PATCHEN AVENUE,7,0,7,7,0,4,3016120049,3,36,387,BK35,40.692011,-73.927887,11221
58860,357208,Preservation,,1156,67,3028683,581,PROSPECT PLACE,4,0,4,4,0,4,3011560067,8,35,305,BK61,40.675239,-73.957247,11238
58860,373966,Preservation,,1176,9,3324413,340,ST JOHNS PLACE,29,0,29,29,0,6,3011760009,8,35,215,BK64,40.674226,-73.966001,11238
58860,374118,Preservation,,1253,17,3032190,738,ST JOHNS PLACE,8,0,8,8,0,4,3012530017,8,35,219,BK61,40.671821,-73.953842,11216
58860,374712,Preservation,,1152,27,3028495,264,ST MARKS AVENUE,12,0,12,12,0,4,3011520027,8,35,205,BK64,40.678251,-73.967185,11238
58860,374980,Preservation,,1227,14,3030996,718,ST MARKS AVENUE,18,0,18,18,0,6,3012270014,8,36,31701,BK61,40.675156,-73.949262,11216
58860,381529,Preservation,,1772,10,3338633,171,TOMPKINS AVENUE,6,0,6,6,0,3,3017720010,3,36,261,BK75,40.693388,-73.945898,11206
58860,385683,Preservation,,1609,1,3043506,165,VAN BUREN STREET,13,0,13,13,0,4,3016090001,3,36,279,BK35,40.690544,-73.939096,11221
58860,385685,Preservation,,1609,79,3043571,171,VAN BUREN STREET,16,0,16,16,0,4,3016090079,3,36,279,BK35,40.69056,-73.938951,11221
58860,387109,Preservation,,1761,30,3048907,258,VERNON AVENUE,3,0,3,3,0,3,3017610030,3,36,283,BK35,40.695505,-73.941442,11206
58860,387117,Preservation,,1761,34,3048911,264,VERNON AVENUE,3,0,3,3,0,3,3017610034,3,36,283,BK35,40.69553,-73.941244,11206
58860,396434,Preservation,,1760,51,3048858,643,WILLOUGHBY AVENUE,4,0,4,4,0,4,3017600051,3,36,25901,BK75,40.694496,-73.943849,11206
58860,396451,Preservation,,1761,56,3048924,685,WILLOUGHBY AVENUE,3,0,3,3,0,3,3017610056,3,36,283,BK35,40.694745,-73.941688,11206
58860,396472,Preservation,,1591,17,3043006,736,WILLOUGHBY AVENUE,35,0,35,35,0,6,3015910017,3,36,283,BK35,40.694991,-73.939376,11206
58860,823290,Preservation,,1176,9,3324414,285,LINCOLN PLACE,29,0,29,29,0,6,3011760009,8,35,215,BK64,40.673535,-73.96638,11238
58863,45604,Preservation,,2890,17,2009344,1760,ANTHONY AVENUE,9,0,9,9,4350,2,2028900017,5,15,231,BX41,40.84537,-73.903888,10457
58863,64635,Preservation,,2668,30,2004817,796,EAST 163 STREET,16,0,16,16,4224,5,2026680030,3,17,133,BX35,40.822527,-73.902385,10456
58863,65479,Preservation,,3776,44,2025348,1590,EAST 172 STREET,43,0,43,43,9000,6,2037760044,9,18,54,BX08,40.831574,-73.876495,10472
58863,65828,Preservation,,2892,38,2009376,344,EAST 176 STREET,8,0,8,8,2210,4,2028920038,5,15,231,BX41,40.847565,-73.902894,10457
58863,78834,Preservation,,2662,10,2004715,1180,FOREST AVENUE,32,0,32,32,6893,5,2026620010,3,17,135,BX35,40.829202,-73.901624,10456
58863,81457,Preservation,,2869,142,2008610,2017,GRAND AVENUE,4,0,4,4,1344,3,2028690142,5,14,243,BX36,40.853392,-73.909963,10453
